nombre,sexo,edad,tamaño,especie,descripcion,protectora,ubicación,peso,nivel_actividad,mi_historia,url,origen,cluster
Dolça,Female,Young,Large,Dog,"Good at home, Good in the car, Good with children, Good with other dogs, Good with people, Affectionate, Likes company, Playful, Likes to walk",Rescue and LoveProtectora,"Valencia, España",0 kg,Medium,"Dolça es esta mestiza de Pastor Belga que en Agosto cumplirá 5 añitos. Sinceramente, no sabemos qué le pasa a la gente por la cabeza para deshacerse de sus animales con tanta facilidad. Dolça está acostumbrada a estar en familia, es una perra muy inteligente, cariñosa y divertida. Tiene por afición robarnos todos los besos que puede, y es que la pobre no termina de habituarse a ""vivir"" detrás de muros del refugio. Analíticas estupendas. Apta con hembras y machos. No testada con gatos. Se entrega vacunada, chipada y castrada. Está en Cullera (Valencia) 692153515 Olga",https://petshelter.miwuki.com/c/s6UEWpOXb0,miwuki,0
Zoe,Female,Adult,Large,Dog,"Good with other animals, Good with other dogs, Affectionate, Obedient",Rescate Animal Marina AltaProtectora,"Alicante, España",0 kg,Undetermined,"Zoe, hembra, Amstaff, 4 años, sociable con machos y hembras, sabe pasear con correa, sana y tranquila. Necesita acogida y/o adopción Alicante Zoe, female, amstaff, 4 years old, very good with other dogs, walks right on a lead, is calmed and healthy. Needs Foster very urgent and also adoption Alicante",https://petshelter.miwuki.com/c/lGn4IqlQf0,miwuki,2
Charlotte,Female,Adult,Medium,Dog,"Good with other animals, Affectionate, Likes company, Likes to walk",Dejan HuellaProtectora,"Córdoba, España",0 kg,Undetermined,"Esta pequeña fue atropellada y pasó toda la noche tirada en la carretera hasta que nos avisaron y fuimos a por ella. La perrita había perdido mucha sangre y tenía el hígado dañado por el golpe. Tuvo que ser ingresada y operada, la operación duró cerca de 4 horas. Ahora ya está  bien.

Sexo: Hembra
Raza: X Labrador
Fecha de Nacimiento: 20.06.2019
Peso: 25 kg
Carácter: es buena y cariñosa , con perros al principio se muestra algo dominante.

Si quieres adoptar, apadrinar o acoger a este bombón ponte en contacto con la protectora dejanhuella@gmail.com o contacta con nosotros en los teléfonos 608 53 69 79/ 633 26 17 87.

Se encuentra en Montilla ( Córdoba)pero se envía a cualquier provincia siempre que el transporte llegue a tu ciudad.",https://petshelter.miwuki.com/c/Zjkbk3Pb0w,miwuki,0
Blanca,Female,Adult,Giant,Dog,"Good with people, Shy",Rescate Animal GranadaProtectora,"Granada, España",0 kg,Low,"Para un perro los días pasan porque el sol se esconde, porque los voluntarios vienen y por el mismo camino se van, hasta el día siguiente. Para Blanca los días ya no pasan, no importan, lleva tantos en el refugio que duplica o triplica el tiempo que algunas personas llevamos como voluntarios.

Para una perra como ella ya no pasa nada. Podríamos decir que ""vive"", pero no queremos conformarnos con esta vida para ella.

Es el caso más difícil del refugio

Tristemente, lo más probable es que Blanca nunca vea el amor de una casa. Es miedosa, grande, gruñe de miedo y desconfía, pero detrás de los traumas y miedos que las personas le hemos causado hay un animal maravilloso y nos gustaría que recibiera algo de amor, como a todos, acorde a ella.

Necesita alguien que entienda esto y que quiera trabajar con ella para descubrir ese corazón que se esconde detrás. Es difícil cambiar esa vida, le costará acostumbrarse, le costará recibir amor y confiar, pero si lo consigues será de las experiencias más valiosas que vas a guardar el resto de tu vida. Estarás salvando un animal que realmente está condenado de por vida a vivir en la marginación, olvidada, que el único contacto que tiene es el de las treinta personas (que cambian a lo largo del tiempo) que le ponen un plato de comida a la mañana y la tarde.",https://petshelter.miwuki.com/c/QizyoTIBIt,miwuki,2
Lotta,Female,Young,Medium,Dog,"Good at home, Good in the car, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Playful, Likes to walk",PETJADES TROBADESProtectora,"Valencia, España",20 kg,High,"Lotta llego hace poco a la protectora, no sabemos su pasado pero si que sabemos que llego un poco miedosa pero en cuanto vio que solo queríamos cuidar de ella se mostró tal y como es, juguetona, activa, buena zalamera y cariñosa. Ahora busca un hogar que le enseñe lo que es tener una familia",https://petshelter.miwuki.com/c/jCzPew80Jw,miwuki,0
Roco,Female,Adult,Medium,Dog,"Good at home, Good with children, Good with other dogs, Good with people, Affectionate, Sleepy",Yesi H.Particular,"Barcelona, España",0 kg,Medium,Nos mudamos y no permiten animales en el piso.,https://petshelter.miwuki.com/c/3uQhexYIIN,miwuki,2
Enric,Male,Senior,Medium,Dog,"Good with other dogs, Good with people, Shy",Spax Protectora De Animales De XàtivaProtectora,"Valencia, España",15 kg,Low,"Enric y Guill fueron encontrados cuando eran unos cachorros junto con su madre Lady. Los tres estuvieron durante semanas fuera del refugio huyendo de nosotros hasta que finalmente pudimos cogerlos y entrarlos al refugio. Los tres fueron casos muy difíciles, muy poco sociables. Lady ha sido ya adoptada y ha mejorado mucho en casa. Enric sigue muy desconfiado, pero con paciencia y mucho cariño se podría conseguir que confiara un poco más pues se acerca bastante a nosotros, sobre todo cuando le damos algo rico para comer, le vuelven loco los quesitos, ahí pierde el miedo completamente. En una casa daría un cambio grande seguro, mejoran mucho más rápido siempre en un hogar. Enric se entrega con chip, pasaporte europeo, vacuna antirrábica, esterilizado y con contrato de adopción",https://petshelter.miwuki.com/c/50AnlUloWf,miwuki,2
Emilio,Male,Puppy,Unknown,Dog,"Good at home, Good with cats, Good with children, Good with other animals, Affectionate, Likes company, Playful, Obedient, Likes to walk",Segundas oportunidadesProtectora,"Tarragona, España",0 kg,Undetermined,Historia no disponible,https://petshelter.miwuki.com/c/6pJ8o777GU,miwuki,0
Melocotón,Male,Young,Unknown,Dog,"Good at home, Good in the car, Good with other dogs, Good with people, Good temperament, Affectionate, Likes company, Sleepy, Playful, Obedient, Likes to walk",Centro Canino SircanProtectora,"Barcelona, España",25 kg,Medium,"Buenas tardes amigos,
Os presento a MELOCOTÓN 😍 esta preciosidad es un mocetón cruce de Labrador Retriever marrón,  de unos tres años de edad  que llegó a la perrera a mediados del mes de Marzo.
Melocotón es cariñoso y obediente y podría vivir con otros perros/as sin problema. 
Melocotón busca un Hogar: se entrega debidamente vacunado, esterilizado y desparasitado. Actualmente está en la protectora de Barcelona, pero puede viajar a cualquier punto de España. Podéis contactar conmigo aquí para cualquier duda:
Juan Carlos Castaño 646 958 099",https://petshelter.miwuki.com/c/fGyRez7qsw,miwuki,0
Blanco,Male,Young,Large,Dog,"Good at home, Good in the car, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Independent, Playful, Likes to walk, Protective",Vanessa G.Particular,"Almería, España",65 kg,High,"Blanco tiene cruce de pastor checo y rottweiler, es un perro, juguetón, súper inteligente, noble y cariñoso, le encanta saltar obstáculos, y como no que le lancen la pelota, está acostumbrado, a tratar con otros perros, niños y personas mayores.Se merece una 🏡 con jardín, y una familia o persona con tiempo y energía para dedicarle.",https://petshelter.miwuki.com/c/vniBnJLiBr,miwuki,0
Troncho,Male,Senior,Large,Dog,"Good with other dogs, Good with people, Independent, Shy",Societat Protectora d'Animals de Catalunya - SPACProtectora,"Tarragona, España",0 kg,Low,"TRONCHO - ADOPCIÓN COSTE CERO

TIENE 10 AÑOS 😢 Y LLEVA MÁS DE 4 AÑOS ENTRE REJAS😢
🆘🆘ES MUY URGENTE ENCONTRAR UN HOGAR PARA ÉL. 🆘🆘
TRONCHO apareció en el refugio con una cadena atada al cuello con un candado, claro caso de abandono.
Es un abuelete tranquilo y paciente, pasea relajado y es bastante independiente. Con personas es algo gruñoncillo, no le gusta que le manipulen y con desconocidos es bastante desconfiado al principio. Aunque si sabes ganártelo, es un trocito de pan.
Con hembras no tiene problemas, pero con machos no es compatible.
TRONCHO merece pasar lo que le queda de vida acompañado de una familia. ¿Te gustaría ser ese gran regalo para nuestro yayito?

Nombre: TRONCHO (ADOPCIÓN COSTE 0)
 Desde 9-3-2016
Sexo: Macho 
Edad: 10 años  
fecha de nacimiento 3/2010
Raza: Cruce de rottweiler
Tamaño: Grande
 Localidad: Torredembarra  (Tarragona)
Situación: Refugio 
Salud: Buena

Se entrega con contrato de adopción que incluye vacuna, cartilla, chip identificativo y esterilización.

SOLO ADOPCIONES RESPONSABLES, UN PERRO NO ES UN JUGUETE.",https://petshelter.miwuki.com/c/lryYto0kdu,miwuki,2
Belma,Female,Adult,Unknown,Dog,Descripción no disponible,Siempre Fiel ProtectoraProtectora,"Salamanca, España",kg,Medium,Historia no disponible,https://petshelter.miwuki.com/c/gJr4IP8UWN#google_vignette,miwuki,5
Black,Male,Adult,Unknown,Dog,"Good at home, Good in the car, Good with cats, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Sleepy, Playful, Obedient, Likes to walk",Sonrisa Animal UteboProtectora,"Zaragoza, España",kg,Medium,"BLACK es el compañero ideal! 😍 Carácter cariñoso y super sociable. Convive sin problemas con más perros y se porta genial en casa. En la calle pasea tranquilo, obediente y se muestra muy sociable con los demás perros. ¡Hasta en las terrazas se porta bien! ¿Qué más se puede pedir? ¡Dale una oportunidad y no te arrepentirás! Black te está buscando…🖤
⚠️ Recuerda que para adoptar a Black necesitas licencia PPP y seguro. Es un trámite sencillo y te podemos ayudar con ello.
Si quieres conocer a Black ponte en contacto con nosotros.
•
🐾¡Síguenos en redes, ayúdanos a ayudarles!🐾
•
💚 Únete a nuestro teaming como Sonrisa Animal Utebo por tan solo 1€ al mes. Podéis encontrar el link en la biografía de nuestro Facebook. 
•
🌐 Hazte socio en nuestra web y no te pierdas nada: www.sonrisaanimal.org
•
➡️ Bizum código 02320",https://petshelter.miwuki.com/c/5nVQXIpbcp,miwuki,0
Looby,Male,Adult,Large,Dog,"Good at home, Good with other animals, Affectionate, Likes company, Playful, Likes to walk",AnaaProtectora,"Madrid, España",36 kg,Undetermined,"Repleto de amor que repartir
Looby es un perrete muy especial. Es muy bueno, alegre, activo, agradecido, súper súper mimoso, juguetón... Todos los adjetivos se quedan cortos para él. A pesar de su tamaño, le encanta subirse a dos patas y quedarse inmóvil para estar bien cerquita de ti y que le puedas acariciar mejor. Es un perro bastante tranquilo que está siempre deseoso de que entres a su chenil a pasar un ratito con él. Pasea muy bien con la correa, normalmente sin tirar y observando todo. Se lleva genial con otros perros; es capaz de jugar durante horas. Si vienes a conocerlo no podrás dejar de pensar en este guapetón. Déjate enamorar por Looby.",https://petshelter.miwuki.com/c/D5LOAM9YK4,miwuki,0
Widow,Male,Adult,Unknown,Dog,"Good with other dogs, Affectionate, Likes company, Playful, Obedient, Likes to walk",Cuatro Patas JumillaProtectora,"Murcia, España",39 kg,Medium,Sociable con otros perros. Miedoso al principio en situaciones que no conoce. Llegó muy asustado al albergue tras encontrado en la pedanía de La Alquería.,https://petshelter.miwuki.com/c/h2xLKckCDt,miwuki,0
Mili,Female,Unknown,Unknown,Dog,Descripción no disponible,Ami. Acogidas Malakitas InternacionalProtectora,"Málaga, España",0 kg,Undetermined,"Mili es una perrita joven y enérgica que fue encontrada vagando junto a su hermana Pili. Tras meses sobreviviendo en las calles, un día un coche la alcanzó, dejándola cojeando y cruzando carreteras sin rumbo. 

Desde entonces, Mili ha demostrado ser una perrita especial. Se ha adaptado perfectamente a la rutina de casa, conviviendo de maravilla con otros dos perros. Es sociable, juguetona y adora los paseos, especialmente si hay una pelota para jugar. Se lleva bien con niños (probado con pequeños de 9 años) y tiene un carácter amistoso con otros perros. Aunque no hemos probado su interacción directa con gatos, en la calle muestra curiosidad al verlos.


En casa, Mili es todo amor: le encanta sentarse encima de ti, recibir mimos y ser parte de la familia. ¡Te hará saber cuándo está feliz con pequeños ladridos o incluso aullidos de emoción! Además, tiene un carácter adaptable, sigue al grupo y obedece con facilidad.


Su mezcla de pastor alemán se refleja no solo en los colores de su manto, sino también en su inteligencia y energía. Es la compañera ideal para una familia activa que pueda brindarle amor, paseos y un hogar donde nunca vuelva a sentirse sola.


Si estás buscando una perrita que llene tu vida de alegría y lealtad, Mili te está esperando.


Si estás interesad@ en darle un hogar definitivo a Mili escribe tu nombre y número de teléfono a acogidasmalakitas@gmail.com",https://petshelter.miwuki.com/c/hDaMIUCYbE,miwuki,5
Yako,Male,Young,Large,Dog,"Good with children, Good with people, Affectionate",DreyaaProtectora,"Jaén, España",0 kg,High,"fue rescatado de sus maltratadores ,vivió sus dos años atado con una cadena que no podia ni tumbarse,no conocía el pienso lo poco que lo alimentaron fue con pan duro...al principio es algo desconfiado con los hombres creemos que recibió bastante maltrato por algun hombre,actualmente está en acogida con un hombre y parece que esta creando vínculo con el y se deja querer mucho.No se lleva bien con otros perros,675304413",https://petshelter.miwuki.com/c/crby70BiZY,miwuki,2
Timón,Male,Puppy,Small,Dog,"Good with cats, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Shy",Segunda Oportunidad Querétaro ACProtectora,"Querétaro, México",8 kg,Medium,"Timón es un peludo de aproximadamente 9 meses de edad. Es un perro muy cariñoso y obediente, su hogar temporal ha cuidado bien de él y le ha enseñado a ser educado y muy limpio. Convive con perros, gatos y niños.",https://petshelter.miwuki.com/c/UbckYUEsnf,miwuki,2
Bico,Male,Adult,Large,Dog,"Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Independent, Obedient, Protective",Dogs Lovers SLPProtectora,"San Luis Potosí, México",0 kg,Medium,"Pide atención, cariños muchos cariños y paseos!m",https://petshelter.miwuki.com/c/nX2BMdNcRV,miwuki,2
Toby y Cloe,Female,Young,Small,Dog,"Good with other dogs, Good with people, Affectionate, Shy",Asociacion protectora de animales tibicenaProtectora,"Las Palmas, España",5 kg,Low,Cloe (Hembra - 4 años) y Toby (Macho - 3 años) fueron rescatados de una finca en la que malvivian. Estaban famélicos y llenos de garrapatas. Sus dueños (tenían chip cuando los rescatamos) nos firmaron la cesión de ellos sin dudarlo. Actualmente están en una casita de acogida junto a priscila (en adopción). Buscan una familia que les enseñen lo que es el calor de un hogar. A poder ser adopción conjunta.,https://petshelter.miwuki.com/c/OIAvEolKAJ,miwuki,2
Arya,Female,Adult,Large,Dog,"Good in the car, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Playful, Obedient, Likes to walk",María José N.Particular,"Murcia, España",30 kg,High,"Arya es una mezcla de pastor alemán con malinois necesita un espacio grande donde ella pueda estar cómoda y poder correr, es amigable aunque la primera impresión es ladrar, le encanta estar con otros perros y jugar. Es muy buena y obediente, tiene una mirada que hace que te enamores de ella todos los días.",https://petshelter.miwuki.com/c/XvkoHZfvO1,miwuki,0
Princesa,Female,Adult,Medium,Dog,"Good at home, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Likes to walk, Protective",Omeyocan AcProtectora,"Ciudad de México, México",0 kg,Low,"Soy una perrita tranquila y cariñosa, toda una PRINCESA! Me llevo bien con otros perritos y me gusta mucho pasear. A mí me rescataron al mes de edad con mis hermanos; creo que ya es tiempo de tener una familia adorable!",https://petshelter.miwuki.com/c/NGKmt978yp,miwuki,0
Kaira,Female,Adult,Medium,Dog,"Good at home, Good with children, Good with other dogs, Good with people, Affectionate, Likes to walk",El Refugio de TizzianoProtectora,"Madrid, España",25 kg,Medium,"🦋K 🦋A 🦋 I 🦋 R🦋 A

Mi princesa kaira es tan preciosa que no podrás rendirte a sus encantos 🤩🤩, eso sí, es una chica con carácter y necesita alguien igual que ella.

KAIRA tiene leismania controlada y hace vida totalmente normal hasta tal punto que si no os lo decimos ni lo sabriais. 

🛑Se encuentra en LORCA (MURCIA).Todos nuestros perros tienen una clase y seguimiento con nuestra educadora, de ahí, que los entreguemos en Madrid y alrededores. 🛑

📲contacto 633 91 92 21",https://petshelter.miwuki.com/c/IWtrsnwQHJ,miwuki,0
Mauri,Male,Young,Unknown,Dog,"Good with other dogs, Good with people, Affectionate, Playful",La Huella Roja AlmeríaProtectora,"Almería, España",kg,Undetermined,"🐾MAURI🐾 MACHO F.N: 18-03-2024 TAMAÑO MEDIANO (CM) KG CRUZADO EN EL REFUGIO DESDE: 07-11-2024 ¡GRACIAS POR HACERLO POSIBLE! como ya sabréis este año nuestra ""huelloneta"" se rompió, dejando al refugio y los peludos sin vehículo para ir al veterinario, adopciones ..., pero GRACIAS A TODOS VOSOTROS Y VUESTRA SOLIDARIDAD, hemos podido comprar otra furgoneta, pero no solo eso ...con el dinero sobrante de las recaudaciónes ¡¡¡SACAREMOS 17 PERROS DEL CENTRO ZOOSANITARIO!!! MIL GRACIAS DE NUEVO, COMO SIEMPRE DECIMOS TODO SUMA Y JUNTOS PODEMOS Si quieres darle un hogar, escríbenos!!! 🔴 Siempre se necesitan madrinas o padrinos para ayudarnos con sus gastos, si estas interesado en adoptar, amadrinar, o cualquier duda escribe a lahuellaroja.almeria@gmail.com 🟡 Si quieres ayudar con los gastos: Unicaja: ES 77 – 2103-5011-11- 0030006775 Swift code: UCJAES2M PAYPAL (Opción familiar o amigo): lahuellaroja.almeria@gmail.com TEAMING: https://www.teaming.net/lahuellarojaalmeria?lang=es_ES 🟠 También tenemos lista de deseos en Amazon https://www.amazon.es/hz/wishlist/ls/1N1XDRAAWCWNH?ref_=wl_share 🟣 Puedes visitar nuestra pagina web: http:///www.lahuellarojaalmeria.com Nuestro Facebook: La Huella Roja Almería Nuestro Instagram: la_huella_roja Nuestro X (Twitter): @lahuellaroja Nuestro TikTok: @la_huella_roja 🟢 Hazte voluntario: lahuellaroja.voluntarios@gmail.com 🔵 Hazte socio: lahuellaroja.socio@gmail.com MUCHAS GRACIAS!!!",https://petshelter.miwuki.com/c/LegZiK0wAK,miwuki,2
Biior,Male,Puppy,Medium,Dog,"Good at home, Good with children, Good with other animals, Good with other dogs, Good with people, Good temperament, Affectionate, Likes company, Sleepy, Playful, Obedient, Likes to walk, Shy",Help FuerteventuraProtectora,"Las Palmas, España",20 kg,Medium,"Encontrado abandonado junto con su hermano el día 30.12.23. Desde entonces lleva en una casa de acogida; no le gusta ir mucho con correa, pero tampoco tira demasiado. Cuando está fuera le encanta correr pero en casa es un perro bastante tranquilo. Está acostumbrado a estar en la terraza/jardin cuando su familia de acogida están trabajando; ladra un poco cuando se van pero solo al principio. Tiene miedo a perros grandes, se esconde. Ladra a los gatos, pero no es agresivo. Muy bueno y cariñoso con personas, muy obediente.",https://petshelter.miwuki.com/c/xVcshCGU0j,miwuki,0
Antía,Female,Adult,Unknown,Dog,"Good with other animals, Affectionate, Likes company, Playful, Likes to walk",Dejan HuellaProtectora,"Córdoba, España",0 kg,Undetermined,"Esta preciosidad busca una adopción responsable. Ya le toca conocer el calor de un hogar y el amor de una familia.

Sexo: Hembra
Raza: Galgo Español
Fecha de Nacimiento: 01.08.2021
Peso: 20 kg
Carácter: buena y cariñosa.

Si quieres adoptar, apadrinar o acoger a este bombón ponte en contacto con la protectora dejanhuella@gmail.com o contacta con nosotros en los teléfonos 608 53 69 79/ 633 26 17 87.

Se encuentra en Montilla ( Córdoba)pero se envía a cualquier provincia siempre que el transporte llegue a tu ciudad.",https://petshelter.miwuki.com/c/VfbvpEjeIt,miwuki,0
Salva,Male,Young,Medium,Dog,"Good with other dogs, Good with people",Spax Protectora De Animales De XàtivaProtectora,"Valencia, España",15 kg,Medium,"Este pequeño fue atropellado por accidente y estuvo gravemente herido en una patita pero afortunadamente se recuperó y no han quedado secuelas del accidente. Al menos físicas. Psicológicas aún le quedan y es que es un perrito muy tímido y algo desconfiado. Poco a poco va cogiendo confianza y se le ve más alegre que al principio. A pesar de ser tímido nunca ha tenido un mal gesto con ningún voluntario, más bien al contrario, te deja que te acerques y le toques la cabecita y entonces cierra los ojos, señal de que le gusta. Cuando estuvo ingresado en la clínica los veterinarios no podían creer que fuera tan bueno. A pesar del dolor nunca se quejó de nada y cuando lo soltaban por la clínica iba siempre detrás de los veterinarios, a cierta distancia pero se notaba que buscaba estar acompañado. Se entrega con chip, pasaporte europeo, vacuna antirrábica, esterilizado y con contrato de adopción.",https://petshelter.miwuki.com/c/mn5GMYDZHm,miwuki,2
Peter,Male,Young,Medium,Dog,"Good with other dogs, Good with people, Affectionate, Obedient",Huellas SolidariasProtectora,"Barcelona, España",5 kg,Undetermined,"Peter es un perrito mix yorki de unos dos añitos encontrado rebuscando en la basura hace ya unos 5 meses . Desde entonces está en un refugio conviviendo con más perretes , pero creemos que una casa de acogida o mejor adopción es lo que necesita ya que le encanta los cariñitos y allí por desgracia no los tiene",https://petshelter.miwuki.com/c/2zeMkQEGAH,miwuki,2
Nita,Female,Young,Medium,Dog,"Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Playful, Likes to walk",Mascotas de ZeroProtectora,"Alicante, España",0 kg,Medium,"Nita fue encontrada en la calle con mucho miedo, no sabemos el tiempo que estuvo perdida pero estamos seguros de que lo pasó mal.
Los primeros días tenía miedo, no quería salir de la jaula y se mostraba tímida.

Con la gente es súper buena, cariñosa, simpática...un amor de perrita. Le gusta mucho subirse a dos patitas para saludar y que le demos mimos.

Con otros perros, si son machos, no tiene problema, pero con algunas hembras es muy dominante y no le gusta estar con ellas.

Pasea bien con correa, le gusta salir de la jaula y conocer sitios nuevos. No es compatible con gatos, se pone nerviosa, ladra y quiere perseguirlos.",https://petshelter.miwuki.com/c/X2UVvQw47g,miwuki,0
Nala,Female,Young,Unknown,Dog,"Good at home, Good in the car, Good with children, Good with other animals, Good with other dogs, Good with people, Good temperament, Affectionate, Likes company, Escapista, Playful, Obedient, Likes to walk",Esther G.Particular,"Barcelona, España",9 kg,Medium,"Nala llegó de Córdoba,después de haberla hecho criar, sacarle los bebés, maltratarla y abandonarla. Llegó a mi casa con miedo extremo, no bebía, no comía, no andaba. 
Hago casa de acogida a Nala. Me veo obligada a pedir ayuda porque me voy a vivir fuera. Necesito encontrar una familia muy buena que la quiera tanto como ella os querrá. 

Nala es una perrita que iría muy bien con una chica o una pareja de chicas y si tienen más perritos, pues mejor.
(Más info en privado)",https://petshelter.miwuki.com/c/CNZN9B2cQT,miwuki,0
